name,company,city,state,country,address,Longitude,Latitude
Mumbai,Trimax IT Infrastructure & Services,Navi,,India,"Reliable Tech Park, 201/202, 2nd Floor, ‘A’ Wing, Thane Belapur Road 400708 Navi Mumbai India",72.877700000000061,19.076000000000022
Mumbai 1,ST Telemedia GDC,Mumbai,,India,Kashinath Dhuru Marg 400025 Mumbai India,72.877700000000061,19.076000000000022
Mumbai 1,Zenlayer,Mumbai,,India,"Kashinath Dhuru Marg, Tower A, 7th Floor, 400025 Mumbai India",72.877700000000061,19.076000000000022
Mumbai 1,Global Cloud Xchange (GCX),30386000,,India,Mumbai India +91 022 30386000,72.877700000000061,19.076000000000022
Mumbai 2,ST Telemedia GDC,Mumbai,,India,Bandra Kurla Complex Road 400051 Mumbai India,72.877700000000061,19.076000000000022
Mumbai 2,Global Cloud Xchange (GCX),30386000,,India,Mumbai India +91 022 30386000,72.877700000000061,19.076000000000022
Mumbai 3,ST Telemedia GDC,Mumbai,,India,Mahakali Caves Rd 400093 Mumbai India,72.877700000000061,19.076000000000022
Mumbai 3,Global Cloud Xchange (GCX),30386000,,India,Mumbai India +91 022 30386000,72.877700000000061,19.076000000000022
Mumbai 4,Global Cloud Xchange (GCX),30386000,,India,Mumbai India +91 022 30386000,72.877700000000061,19.076000000000022
Nashik,ESDS Software Solution Pvt. Ltd.,Nashik,,India,"Plot No. B- 24 & 25, NICE Industrial Area. Satpur MIDC 422 007 Nashik India",7.262000000000057,43.710200000000043
National Data Centre Bhubaneswar,National Informatics Centre (NIC) India,Bhubaneswar,,India,"4, Sachivalaya Marg 751013 Bhubaneswar India",85.833286100000066,20.296976500000028
National Data Centre Delhi,National Informatics Centre (NIC) India,New,,India,"Metro Vihar, Shastri Park, Jagjit Nagar 110053 New Delhi India",77.102500000000077,28.704100000000039
National Data Centre Hyderbad,National Informatics Centre (NIC) India,Hyderabad,,India,"Nic Building Collectorate Building, N Pally 500063 Hyderabad India",78.486700000000042,17.385000000000048
National Data Centre Pune,National Informatics Centre (NIC) India,Pune,,India,Ganeshkhind Road 411007 Pune India,73.856700000000046,18.520400000000052
Navi Mumbai,Bridge Data Centres,03158,,India,Navi Mumbai India +91 98200 03158,72.877700000000061,19.076000000000022
Navi Mumbai,ESDS Software Solution Pvt. Ltd.,Mumbai,,India,tbc Navi Mumbai India,72.877700000000061,19.076000000000022
New Delhi,Net4,New,,India,"AB-11, Community Centre Safdarjung Enclave 110029 New Delhi India",77.102500000000077,28.704100000000039
New Delhi,Koonk Technologies,Delhi,,India,tbc New Delhi India,77.102500000000077,28.704100000000039
New Delhi (Greater Kailash),TATA Communications,New,,India,Greater Kailash 110048 New Delhi India,77.102500000000077,28.704100000000039
New Delhi 1,ST Telemedia GDC,3388,,India,110048 New Delhi India 65 6808 3388,77.102500000000077,28.704100000000039
New Delhi 2,ST Telemedia GDC,New,,India,"2, Bangla Sahib Rd 110001 New Delhi India",77.102500000000077,28.704100000000039
New Delhi 3,ST Telemedia GDC,3388,,India,New Delhi India 65 6808 3388,77.102500000000077,28.704100000000039
Noida,Sify Corp,Noida,,India,"B7, Sector 132, Greater Noida Expressway, Near New Delhi 201301 Noida India",77.102500000000077,28.704100000000039
Noida,NetMagic Solutions Pvt Ltd,Noida,,India,Sector 63 201301 Noida India,77.357552000000055,28.628544800000043
Patancheru,Bharat Sanchar Nigam Ltd. (BSNL),Hyderabad,,India,502319 Hyderabad India www.bsnl.co.in,78.486700000000042,17.385000000000048
Pune,Microsoft,Pune,,India,tbc Pune India,73.856700000000046,18.520400000000052
Pune,Nxtra Data,Pune,,India,"Eon Kharadi Infrastructure Pvt Ltd, Kharadi South Main Road 411014 Pune India",73.856700000000046,18.520400000000052
Pune,LeapSwitch Networks Pvt Limited,Pune,,India,"6, Aditi Commerce, Opp. SBI, Baner Main Road, Baner, Pune 411045 Pune India",73.856700000000046,18.520400000000052
Pune,DataGalaxy,Pune,,India,46 level 5 C wing Panchshil Tech park One Yerwada 411006 Pune India,73.856700000000046,18.520400000000052
Pune,Net4,Pune,,India,"201, IInd Floor Unique Chamber Near Deendayal Hospital F.C. Road 411005 Pune India",73.856700000000046,18.520400000000052
Pune,Sungard,www.sungardas.com,,India,Pune India www.sungardas.com,73.856700000000046,18.520400000000052
Pune,ST Telemedia GDC,Pune,,India,Alandi Rd 411006 Pune India,73.856700000000046,18.520400000000052
Pune,TATA Communications,Pune,,India,"VSNL Old Colony, Dighi 411015 Pune India",73.856700000000046,18.520400000000052
Reliance Chennai IDC,Reliance Communications Ltd.,Chennai,,India,"No-6, Haddows Road Chennai India",80.270700000000033,13.082700000000045
Reliance Hyderabad IDC,Reliance Communications Ltd.,Hyderabad,,India,"Plot No-20, Hitec City Layout, Survay No 64, Madhapur Hyderabad India",78.486700000000042,17.385000000000048
Reliance IDC-1,Reliance Communications Ltd.,Mumbai,,India,Thane Belapur Road Navi Mumbai India,72.877700000000061,19.076000000000022
Reliance IDC-2,Reliance Communications Ltd.,Mumba,,India,Thane Belapur Road Navi Mumba India,73.000206900000080,19.175665800000047
Reliance IDC-3,Reliance Communications Ltd.,Mumbai,,India,Thane Belapur Road Navi Mumbai India,72.877700000000061,19.076000000000022
Reliance IDC-4,Reliance Communications Ltd.,Mumbai,,India,Thane Belapur Road Navi Mumbai India,72.877700000000061,19.076000000000022
Vashi,Cyquator Technologies,Navi,,India,"Tower No.2, 4th Floor, International Infotech Park, Above Vashi Rly.stn. 400703 Navi Mumbai India",72.877700000000061,19.076000000000022
Vikhroli,NetMagic Solutions Pvt Ltd,Vikhroli,,India,"Mehra Industrial Estate, LBS Marg 400079 Vikhroli India",72.925098000000048,19.108343300000058
NES Data,NES Data,,,India,,73.728885000000048,18.591821000000039
